what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323622507678
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323622509363
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323622510439
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323622564587
opened,editor,com.orangevolt.eclipse.xslt,1.0.7,"com.orangevolt.xslt.editor.XMLEditor",1323622568464
activated,editor,com.orangevolt.eclipse.xslt,1.0.7,"com.orangevolt.xslt.editor.XMLEditor",1323622568583
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323622634361
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323622648465
activated,editor,org.eclipse.wst.xsl.ui,1.1.1.v201009091745,"org.eclipse.wst.xsl.ui.XSLEditor",1323622652102
closed,editor,com.orangevolt.eclipse.xslt,1.0.7,"com.orangevolt.xslt.editor.XMLEditor",1323622652103
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323622663791
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323622678721
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323622768710
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323622774474
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323622790302
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323622806087
activated,editor,com.orangevolt.eclipse.xslt,1.0.7,"com.orangevolt.xslt.editor.XMLEditor",1323622807926
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323622929523
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323623150069
activated,editor,org.eclipse.wst.xsl.ui,1.1.1.v201009091745,"org.eclipse.wst.xsl.ui.XSLEditor",1323623150188
activated,editor,com.orangevolt.eclipse.xslt,1.0.7,"com.orangevolt.xslt.editor.XMLEditor",1323623156537
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1323623161769
activated,editor,com.orangevolt.eclipse.xslt,1.0.7,"com.orangevolt.xslt.editor.XMLEditor",1323623161928
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323623172671
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323623174427
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1323623181725
activated,editor,com.orangevolt.eclipse.xslt,1.0.7,"com.orangevolt.xslt.editor.XMLEditor",1323623181905
activated,editor,org.eclipse.wst.xsl.ui,1.1.1.v201009091745,"org.eclipse.wst.xsl.ui.XSLEditor",1323623197914
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323623200263
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323623217180
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1323623244916
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323623245798
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323623273713
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323623280094
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323623386818
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323623405550
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323623652383
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1323623665885
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1323623673699
opened,editor,com.orangevolt.eclipse.xslt,1.0.7,"com.orangevolt.xslt.editor.XMLEditor",1323623674910
activated,editor,com.orangevolt.eclipse.xslt,1.0.7,"com.orangevolt.xslt.editor.XMLEditor",1323623675015
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1323623675137
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323623711198
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323623773375
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323623794637
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323623894293
activated,editor,com.orangevolt.eclipse.xslt,1.0.7,"com.orangevolt.xslt.editor.XMLEditor",1323623898869
activated,editor,org.eclipse.wst.xsl.ui,1.1.1.v201009091745,"org.eclipse.wst.xsl.ui.XSLEditor",1323623898908
activated,editor,com.orangevolt.eclipse.xslt,1.0.7,"com.orangevolt.xslt.editor.XMLEditor",1323623901248
activated,editor,org.eclipse.wst.xsl.ui,1.1.1.v201009091745,"org.eclipse.wst.xsl.ui.XSLEditor",1323623902047
closed,editor,com.orangevolt.eclipse.xslt,1.0.7,"com.orangevolt.xslt.editor.XMLEditor",1323623902047
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1323623913513
