what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1323781062202
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1323781064933
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1323781073629
activated,editor,com.orangevolt.eclipse.xslt,1.0.7,"com.orangevolt.xslt.editor.XMLEditor",1323781082596
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1323781097900
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323781099679
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323781138152
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1323781140222
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323781141859
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323781270748
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1323781290658
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1323781300840
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323781308257
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323781341271
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1323781369163
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323781377060
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323782905664
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1323782915260
opened,editor,com.orangevolt.eclipse.xslt,1.0.7,"com.orangevolt.xslt.editor.XMLEditor",1323782919984
activated,editor,com.orangevolt.eclipse.xslt,1.0.7,"com.orangevolt.xslt.editor.XMLEditor",1323782920065
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1323782920146
activated,editor,com.orangevolt.eclipse.xslt,1.0.7,"com.orangevolt.xslt.editor.XMLEditor",1323782924392
activated,editor,com.orangevolt.eclipse.xslt,1.0.7,"com.orangevolt.xslt.editor.XMLEditor",1323782926562
closed,editor,com.orangevolt.eclipse.xslt,1.0.7,"com.orangevolt.xslt.editor.XMLEditor",1323782926568
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323782927993
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323782975748
activated,editor,org.eclipse.wst.xsl.ui,1.1.1.v201009091745,"org.eclipse.wst.xsl.ui.XSLEditor",1323783022471
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323783025289
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323783068983
activated,editor,com.orangevolt.eclipse.xslt,1.0.7,"com.orangevolt.xslt.editor.XMLEditor",1323783069163
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323783086697
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323786646029
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323786660108
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323786661422
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.4.v201103310001,"org.eclipse.wst.jsdt.debug.core",1323786661450
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1323786661923
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1323786662550
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1323786662554
